Time (ms),UNKNOWN,STILL,FALLING,STOPPED
92045336,,0.000000,,
112,,0.960577,,
117,,0.960577,,
132,,0.928471,,
137,,0.981065,,
154,,0.981065,,
157,,0.983324,,
172,,1.012965,,
177,,1.015153,,
194,,1.012965,,
199,,1.012965,,
215,,1.012965,,
219,,0.981065,,
234,,0.981065,,
239,,0.981065,,
254,,0.981065,,
269,,0.960577,,
270,,0.993135,,
285,,0.960577,,
290,,0.983324,,
305,,0.981065,,
310,,1.015153,,
335,,0.981065,,
347,,0.960577,,
354,,0.960577,,
369,,0.960577,,
371,,0.960577,,
387,,0.960577,,
391,,0.983324,,
406,,0.981065,,
411,,1.012965,,
426,,1.015153,,
431,,0.993135,,
446,,0.960577,,
451,,0.960577,,
470,,0.960577,,
472,,0.981065,,
487,,0.981065,,
492,,0.981065,,
507,,0.981065,,
514,,0.960577,,
529,,0.993135,,
532,,0.960577,,
547,,0.960577,,
562,,0.962884,,
564,,0.960577,,
579,,0.943455,,
584,,0.941100,,
599,0.871307,,,
604,0.839230,,,
619,0.623421,,,
640,,,0.037037,
654,,,0.038462,
657,,,0.000000,
672,,,0.000000,
675,,,0.037037,
690,,,0.000000,
695,,,0.000000,
710,,,0.037037,
725,,,0.000000,
726,,,0.000000,
746,,,0.000000,
762,,,0.037037,
796,,,0.000000,
797,,,0.000000,
837,,,0.037037,
854,,,0.037037,
857,,,0.037037,
872,,,0.037037,
877,,,0.037037,
892,,,0.053395,
897,,,0.037037,
915,,,0.053395,
917,,,0.037037,
987,,,0.053395,
1025,,,0.053395,
1029,,,0.053395,
1045,,,0.065806,
1050,,,0.083464,
1065,,,0.091900,
1070,,,0.091900,
1090,,,0.074074,
1110,,,0.083464,
1125,,,0.091900,
1130,,,0.091900,
1145,,,0.091900,
1165,,,0.123711,
1180,,,0.117580,
1181,,,0.117580,
1196,,,0.123711,
1201,,,0.117580,
1217,,,0.123711,
1242,,,0.123711,
1276,,,0.157818,
1294,,,0.153059,
1295,,,0.148148,
1310,,,0.148148,
1327,,,0.153059,
1374,,,0.153059,
1399,,,0.148148,
1404,,,0.148148,
1439,,,0.157818,
1454,,,0.153059,
1455,,,0.157818,
1470,,,0.171302,
1475,,,0.193008,
1490,,,0.193008,
1495,,,0.221555,
1510,,,0.193008,
1515,,,0.193008,
1530,,,0.193008,
1545,,,0.193008,
1546,,,0.193008,
1561,,,0.193008,
1566,,,0.189137,
1586,,,0.189137,
1601,,,0.189137,
1616,,,0.189137,
1632,,,0.200526,
1637,,,0.189137,
1655,,,0.189137,
1656,,,0.225526,
1677,,,0.200526,
1692,,,0.235159,
1697,,,0.204181,
1712,,,0.204181,
1727,,,0.214774,
1729,,,0.214774,
1749,,,0.261942,
1764,,,0.261942,
1769,,,0.231353,
1784,,,0.246822,
1789,,,0.266975,
1819,,,0.266975,
1820,,,0.266975,
1835,,,0.266975,
1840,,,0.293879,
1855,,,0.266975,
1860,,,0.266975,
1875,,,0.293879,
1880,,,0.293879,
1895,,,0.275699,
1901,,,0.281013,
1917,,,0.293879,
1921,,,0.281013,
1936,,,0.293879,
1941,,,0.293879,
1956,,,0.293879,
1961,,,0.315719,
1976,,,0.322796,
1991,,,0.342603,
1992,,,,2.581798
