Time (ms),UNKNOWN,STILL,FALLING,STOPPED
92045336,,0.000000,,
112,,0.960577,,
117,,0.960577,,
132,,0.928471,,
137,,0.981065,,
154,,0.981065,,
157,,0.983324,,
172,,1.012965,,
177,,1.015153,,
194,,1.012965,,
199,,1.012965,,
215,,1.012965,,
219,,0.981065,,
234,,0.981065,,
239,,0.981065,,
254,,0.981065,,
269,,0.960577,,
270,,0.993135,,
285,,0.960577,,
290,,0.983324,,
305,,0.981065,,
310,,1.015153,,
335,,0.981065,,
347,,0.960577,,
354,,0.960577,,
369,,0.960577,,
371,,0.960577,,
387,,0.960577,,
391,,0.983324,,
406,,0.981065,,
411,,1.012965,,
426,,1.015153,,
431,,0.993135,,
446,,0.960577,,
451,,0.960577,,
470,,0.960577,,
472,,0.981065,,
487,,0.981065,,
492,,0.981065,,
507,,0.981065,,
514,,0.960577,,
529,,0.993135,,
532,,0.960577,,
547,,0.960577,,
562,,0.962884,,
564,,0.960577,,
579,,0.943455,,
584,,0.941100,,
599,0.871307,,,
604,0.839230,,,
619,0.623421,,,
640,,,0.037037,
654,,,0.038462,
657,,,0.000000,
672,,,0.000000,
675,,,0.037037,
690,,,0.000000,
695,,,0.000000,
710,,,0.037037,
725,,,0.000000,
726,,,0.000000,
746,,,0.000000,
762,,,0.037037,
796,,,0.000000,
797,,,0.000000,
837,,,0.037037,
854,,,0.037037,
857,,,0.037037,
872,,,0.037037,
877,,,0.037037,
892,,,0.053395,
897,,,0.037037,
915,,,0.053395,
917,,,0.037037,
987,,,0.053395,
1025,,,0.053395,
1029,,,0.053395,
1045,,,0.065806,
1050,,,0.083464,
1065,,,0.091900,
1070,,,0.091900,
1090,,,0.074074,
1110,,,0.083464,
1125,,,0.091900,
1130,,,0.091900,
1145,,,0.091900,
1165,,,0.123711,
1180,,,0.117580,
1181,,,0.117580,
1196,,,0.123711,
1201,,,0.117580,
1217,,,0.123711,
1242,,,0.123711,
1276,,,0.157818,
1294,,,0.153059,
1295,,,0.148148,
1310,,,0.148148,
1327,,,0.153059,
1374,,,0.153059,
1399,,,0.148148,
1404,,,0.148148,
1439,,,0.157818,
1454,,,0.153059,
1455,,,0.157818,
1470,,,0.171302,
1475,,,0.193008,
1490,,,0.193008,
1495,,,0.221555,
1510,,,0.193008,
1515,,,0.193008,
1530,,,0.193008,
1545,,,0.193008,
1546,,,0.193008,
1561,,,0.193008,
1566,,,0.189137,
1586,,,0.189137,
1601,,,0.189137,
1616,,,0.189137,
1632,,,0.200526,
1637,,,0.189137,
1655,,,0.189137,
1656,,,0.225526,
1677,,,0.200526,
1692,,,0.235159,
1697,,,0.204181,
1712,,,0.204181,
1727,,,0.214774,
1729,,,0.214774,
1749,,,0.261942,
1764,,,0.261942,
1769,,,0.231353,
1784,,,0.246822,
1789,,,0.266975,
1819,,,0.266975,
1820,,,0.266975,
1835,,,0.266975,
1840,,,0.293879,
1855,,,0.266975,
1860,,,0.266975,
1875,,,0.293879,
1880,,,0.293879,
1895,,,0.275699,
1901,,,0.281013,
1917,,,0.293879,
1921,,,0.281013,
1936,,,0.293879,
1941,,,0.293879,
1956,,,0.293879,
1961,,,0.315719,
1976,,,0.322796,
1991,,,0.342603,
1992,,,,2.581798
2007,,,,3.584645
2012,,,,1.358482
2042,,,,1.358482
2044,,,,0.054393
2057,,,,0.135140
2072,,,,0.086003
2076,,,,0.143536
2091,,,,0.065806
2094,,,,0.074074
2109,,,,0.083464
2114,,,,0.037037
2129,,,,0.053395
2134,,,,0.053395
2149,,,,0.038462
2164,,,,0.038462
2165,,,,0.037037
2180,,,,0.038462
2185,,,,0.065806
2201,,,,0.037037
2205,,,,0.038462
2220,,,,0.000000
2225,,,,0.038462
2240,,,,0.000000
2255,,,,0.038462
2256,,,,0.038462
2271,,,,0.000000
2276,,,,0.000000
2291,,,,0.038462
2296,,,,0.038462
2311,,,,0.000000
2346,,,,0.054393
2347,,,,0.038462
2362,,,,0.054393
2367,,,,0.054393
2382,,,,0.037037
2387,,,,0.000000
2405,,,,0.000000
2407,,,,0.000000
2422,,,,0.038462
2442,,,,0.000000
2447,,,,0.000000
2462,,,,0.038462
2477,,,,0.054393
2479,,,,0.038462
2494,,,,0.054393
2499,,,,0.038462
2514,,,,0.038462
2529,,,,0.038462
2530,,,,0.038462
2549,,,,0.038462
2579,,,,0.038462
2595,,,,0.038462
2600,,,,0.038462
2616,,,,0.038462
2620,,,,0.038462
2635,,,,0.038462
2640,,,,0.038462
2655,,,,0.038462
2671,,,,0.038462
2687,,,,0.038462
2691,,,,0.053395
2711,,,,0.038462
2726,,,,0.038462
2731,,,,0.053395
2746,,,,0.038462
2752,,,,0.065806
2767,,,,0.038462
2772,,,,0.053395
2792,,,,0.038462
2807,,,,0.038462
2812,,,,0.038462
2827,,,,0.038462
2834,,,,0.076923
2854,,,,0.076923
2881,,,,0.076923
2886,,,,0.076923
2921,,,,0.076923
2925,,,,0.085375
2941,,,,0.085375
2960,,,,0.085375
2965,,,,0.121183
2980,,,,4.905574
2995,,,,4.798778
2996,,,,2.714227
3011,,,,1.016289
3016,,,,1.581139
3032,,,,1.581139
3036,,,,0.295247
3051,,,,0.467904
3056,,,,0.162849
3071,,,,0.137115
3076,,,,0.038462
3091,,,,0.053395
3106,,,,0.000000
3109,,,,0.038462
3127,,,,0.053395
3142,,,,0.037037
3147,,,,0.000000
3164,,,,0.038462
3167,,,,0.038462
3182,,,,0.000000
3187,,,,0.038462
3202,,,,0.000000
3217,,,,0.038462
3219,,,,0.038462
3234,,,,0.038462
3239,,,,0.038462
3259,,,,0.037037
3279,,,,0.000000
3294,,,,0.037037
3299,,,,0.000000
3322,,,,0.000000
3324,,,,0.053395
3337,,,,0.037037
3340,,,,0.037037
3355,,,,0.037037
3360,,,,0.000000
3376,,,,0.037037
3380,,,,0.000000
3410,,,,0.053395
3411,,,,0.038462
3442,,,,0.037037
3459,,,,0.053395
3477,,,,0.037037
3481,,,,0.053395
3496,,,,0.037037
3511,,,,0.065806
3516,,,,5.188846
3531,,,,5.171225
3532,,,,2.472618
3550,,,,2.186366
3552,,,,1.722599
3567,,,,0.785339
3572,,,,1.190038
3587,,,,1.178357
3602,,,,0.962099
3604,,,,0.298782
3632,,,,3.091722
3655,,,,0.669315
3676,,,,0.274230
3714,,,,0.256125
3722,,,,0.193633
3741,,,,0.361175
3742,,,,0.802281
3752,,,,1.125123
3762,,,,0.905891
3766,,,,0.595261
3782,,,,0.369133
3786,,,,0.463430
3801,,,,0.559793
3816,,,,0.498789
3817,,,,0.534577
3832,,,,0.907273
3837,,,,3.530080
3852,,,,4.745826
3857,,,,4.018791
3872,,,,2.961477
3877,,,,1.684768
3892,,,,0.925429
3907,,,,0.457886
3909,,,,0.568569
3925,,,,0.760249
3940,,,,0.939126
3941,,,,0.889393
3956,,,,0.718878
3959,,,,0.582515
3975,,,,0.569416
3979,,,,0.680652
3994,,,,0.740168
3999,,,,0.735520
4014,,,,1.083720
4020,,,,1.083720
4035,,,,1.951607
4052,,,,0.983374
4054,,,,0.402186
4061,,,,0.267427
4076,,,,0.310087
4081,,,,0.371598
4097,,,,0.734149
4101,,,,1.202016
4116,,,,1.496514
4131,,,,2.013686
4132,,,,1.595508
4149,,,,0.649701
4152,,,,0.856015
4167,,,,2.454852
4172,,,,3.871062
4187,,,,3.486687
4192,,,,1.301430
4209,,,,0.431605
4214,,,,0.555935
4230,,,,0.973644
4234,,,,0.932917
4249,,,,0.581659
4254,,,,0.350248
4269,,,,0.230769
4274,,,,0.271767
4289,,,,0.346154
4294,,,,0.424695
4309,,,,0.578111
4324,,,,0.734514
4325,,,,0.888544
4340,,,,1.005686
4345,,,,0.852866
4360,,,,0.694364
4365,,,,0.579389
4382,,,,0.578204
4385,,,,0.773954
4400,,,,1.069581
4405,,,,1.162266
4420,,,,0.995877
4435,,,,0.834215
4437,,,,0.834215
4452,,,,0.787647
4456,,,,0.834215
4467,,,,0.916924
4480,,,,0.916924
4492,,,,0.860122
4496,,,,0.768603
4510,,,,0.642938
4516,,,,0.574916
4531,,,,0.502122
4546,,,,0.470171
4547,,,,0.434186
4562,,,,0.434186
4567,,,,0.514739
4582,,,,0.598572
4587,,,,0.494351
4602,,,,0.535311
4617,,,,0.865118
4619,,,,1.158687
4634,,,,1.151365
4637,,,,2.650363
4652,,,,2.940975
4667,,,,1.990139
4669,,,,1.436254
4684,,,,1.008194
4689,,,,2.467622
4704,,,,2.752293
4709,,,,1.028830
4724,,,,0.430204
4729,,,,0.509302
4744,,,,0.918774
4749,,,,1.228215
4767,,,,1.047427
4769,,,,0.891720
4784,,,,0.752441
4799,,,,0.788912
4800,,,,0.891884
4815,,,,0.965935
4820,,,,0.948458
4836,,,,0.936083
4840,,,,0.863756
4856,,,,0.851762
4860,,,,0.892472
4875,,,,0.965712
4880,,,,1.073058
4895,,,,1.072231
4910,,,,1.029043
4911,,,,0.962950
4926,,,,1.015665
4931,,,,1.015665
4946,,,,0.964388
4951,,,,0.927640
