t,x,y,z,x avg,y avg,z avg,x max,x min,y max,y min,z max,z min
1,-0.0438,1.0522,-0.1199,,,,,,,,,
2,-0.0851,1.0392,-0.1329,,,,,,,,,
3,-0.1533,1.1425,-0.0690,,,,,,,,,
4,-0.2869,1.2113,0.0562,,,,,,,,,
5,-0.3787,1.1687,0.1102,,,,,,,,,
6,-0.5141,1.0487,0.2821,,,,,,,,,
7,-0.6445,1.0687,0.4815,,,,,,,,,
8,-0.6283,0.9747,0.7673,,,,,,,,,
9,-0.4681,0.8424,0.9379,,,,,,,,,
10,-0.3628,0.7884,1.0322,,,,,,,,,
11,-0.2396,0.7593,1.1212,,,,,,,,,
12,-0.0643,0.6623,1.1776,,,,,,,,,
13,0.0391,0.6179,1.1819,,,,,,,,,
14,0.1138,0.5318,1.1294,,,,,,,,,
15,0.2028,0.4641,1.0421,,,,,,,,,
16,0.2653,0.4447,0.9845,,,,,,,,,
17,0.3986,0.5045,0.9423,,,,,,,,,
18,0.6446,0.5428,0.9169,,,,,,,,,
19,0.7490,0.4642,0.8729,,,,,,,,,
20,0.8409,0.3591,0.7976,,,,,,,,,
21,0.8882,0.2813,0.7604,0.0158,0.7458,0.7196,0.8882,-0.6445,1.2113,0.2813,1.1819,-0.1329
22,0.9441,0.2546,0.7169,0.0673,0.7066,0.7621,0.9441,-0.6445,1.2113,0.2546,1.1819,-0.0690
23,1.0497,0.3394,0.6853,0.1274,0.6664,0.7998,1.0497,-0.6445,1.2113,0.2546,1.1819,0.0562
24,1.1104,0.4428,0.6848,0.1973,0.6280,0.8313,1.1104,-0.6445,1.1687,0.2546,1.1819,0.1102
25,1.1669,0.7031,0.6338,0.2746,0.6047,0.8574,1.1669,-0.6445,1.0687,0.2546,1.1819,0.2821
26,1.1361,0.5992,0.5207,0.3571,0.5823,0.8694,1.1669,-0.6445,1.0687,0.2546,1.1819,0.4815
27,1.2005,0.4929,0.1176,0.4493,0.5535,0.8512,1.2005,-0.6283,0.9747,0.2546,1.1819,0.1176
28,1.3164,0.8793,-0.2064,0.5466,0.5487,0.8025,1.3164,-0.4681,0.8793,0.2546,1.1819,-0.2064
29,1.3725,1.4615,-0.5864,0.6386,0.5797,0.7263,1.3725,-0.3628,1.4615,0.2546,1.1819,-0.5864
30,1.3156,1.6379,-0.5620,0.7225,0.6221,0.6466,1.3725,-0.2396,1.6379,0.2546,1.1819,-0.5864
31,1.2019,1.7635,-0.5793,0.7946,0.6723,0.5615,1.3725,-0.0643,1.7635,0.2546,1.1819,-0.5864
