t,x,y,z,x avg,y avg,z avg,x max,x min,y max,y min,z max,z min
1,0.0269,0.9832,0.2001,,,,,,,,,
2,0.0258,0.9894,0.1983,,,,,,,,,
3,0.0230,0.9943,0.1994,,,,,,,,,
4,0.0241,0.9851,0.2008,,,,,,,,,
5,0.0200,0.9955,0.1999,,,,,,,,,
6,0.0234,0.9913,0.1956,,,,,,,,,
7,0.0239,0.9921,0.2028,,,,,,,,,
8,0.0274,0.9907,0.2005,,,,,,,,,
9,0.0257,0.9913,0.1999,,,,,,,,,
10,0.0261,0.9869,0.2006,,,,,,,,,
11,0.0220,0.9928,0.2009,,,,,,,,,
12,0.0229,0.9917,0.1994,,,,,,,,,
13,0.0275,0.9864,0.2025,,,,,,,,,
14,0.0220,0.9879,0.2009,,,,,,,,,
15,0.0267,0.9893,0.1973,,,,,,,,,
16,0.0255,0.9885,0.1987,,,,,,,,,
17,0.0253,0.9921,0.2003,,,,,,,,,
18,0.0236,0.9886,0.2011,,,,,,,,,
19,0.0272,0.9860,0.2048,,,,,,,,,
20,0.0289,0.9946,0.1994,,,,,,,,,
21,0.0285,0.9845,0.1990,0.0250,0.9899,0.2001,0.0289,0.0200,0.9955,0.9845,0.2048,0.1956
22,0.0255,0.9940,0.2000,0.0250,0.9902,0.2002,0.0289,0.0200,0.9955,0.9845,0.2048,0.1956
23,0.0234,0.9847,0.1962,0.0250,0.9897,0.2000,0.0289,0.0200,0.9955,0.9845,0.2048,0.1956
24,0.0234,0.9894,0.2025,0.0249,0.9899,0.2001,0.0289,0.0200,0.9955,0.9845,0.2048,0.1956
25,0.0231,0.9927,0.1972,0.0251,0.9898,0.2000,0.0289,0.0220,0.9946,0.9845,0.2048,0.1956
26,0.0252,0.9926,0.2000,0.0252,0.9898,0.2002,0.0289,0.0220,0.9946,0.9845,0.2048,0.1962
27,0.0253,0.9919,0.2001,0.0253,0.9898,0.2001,0.0289,0.0220,0.9946,0.9845,0.2048,0.1962
28,0.0264,0.9883,0.1994,0.0252,0.9897,0.2000,0.0289,0.0220,0.9946,0.9845,0.2048,0.1962
29,0.0252,0.9945,0.1967,0.0252,0.9899,0.1998,0.0289,0.0220,0.9946,0.9845,0.2048,0.1962
30,0.0277,0.9889,0.1977,0.0253,0.9900,0.1997,0.0289,0.0220,0.9946,0.9845,0.2048,0.1962
31,0.0256,0.9934,0.2023,0.0254,0.9900,0.1998,0.0289,0.0220,0.9946,0.9845,0.2048,0.1962
32,0.0229,0.9916,0.1947,0.0254,0.9900,0.1995,0.0289,0.0220,0.9946,0.9845,0.2048,0.1947
33,0.0262,0.9924,0.2016,0.0254,0.9903,0.1995,0.0289,0.0220,0.9946,0.9845,0.2048,0.1947
34,0.0277,0.9905,0.2009,0.0257,0.9904,0.1995,0.0289,0.0229,0.9946,0.9845,0.2048,0.1947
35,0.0250,0.9894,0.2012,0.0256,0.9904,0.1997,0.0289,0.0229,0.9946,0.9845,0.2048,0.1947
36,0.0255,0.9882,0.1965,0.0256,0.9904,0.1996,0.0289,0.0229,0.9946,0.9845,0.2048,0.1947
37,0.0283,0.9916,0.1972,0.0257,0.9904,0.1994,0.0289,0.0229,0.9946,0.9845,0.2048,0.1947
38,0.0267,0.9905,0.2009,0.0259,0.9905,0.1994,0.0289,0.0229,0.9946,0.9845,0.2048,0.1947
39,0.0245,0.9916,0.1988,0.0258,0.9908,0.1991,0.0289,0.0229,0.9946,0.9845,0.2025,0.1947
40,0.0217,0.9917,0.1994,0.0254,0.9906,0.1991,0.0285,0.0217,0.9945,0.9845,0.2025,0.1947
41,0.0248,0.9957,0.1989,0.0252,0.9912,0.1991,0.0283,0.0217,0.9957,0.9847,0.2025,0.1947
42,0.0259,0.9916,0.2028,0.0252,0.9911,0.1992,0.0283,0.0217,0.9957,0.9847,0.2028,0.1947
43,0.0258,0.9948,0.1995,0.0253,0.9916,0.1994,0.0283,0.0217,0.9957,0.9882,0.2028,0.1947
44,0.0287,0.9843,0.1978,0.0256,0.9913,0.1992,0.0287,0.0217,0.9957,0.9843,0.2028,0.1947
45,0.0234,0.9935,0.2017,0.0256,0.9914,0.1994,0.0287,0.0217,0.9957,0.9843,0.2028,0.1947
