t,x,y,z,x avg,y avg,z avg,x max,x min,y max,y min,z max,z min
1,-0.0438,1.0522,-0.1199,,,,,,,,,
2,-0.0851,1.0392,-0.1329,,,,,,,,,
3,-0.1533,1.1425,-0.0690,,,,,,,,,
4,-0.2869,1.2113,0.0562,,,,,,,,,
5,-0.3787,1.1687,0.1102,,,,,,,,,
6,-0.5141,1.0487,0.2821,,,,,,,,,
7,-0.6445,1.0687,0.4815,,,,,,,,,
8,-0.6283,0.9747,0.7673,,,,,,,,,
9,-0.4681,0.8424,0.9379,,,,,,,,,
10,-0.3628,0.7884,1.0322,,,,,,,,,
11,-0.2396,0.7593,1.1212,,,,,,,,,
12,-0.0643,0.6623,1.1776,,,,,,,,,
13,0.0391,0.6179,1.1819,,,,,,,,,
14,0.1138,0.5318,1.1294,,,,,,,,,
15,0.2028,0.4641,1.0421,,,,,,,,,
16,0.2653,0.4447,0.9845,,,,,,,,,
17,0.3986,0.5045,0.9423,,,,,,,,,
18,0.6446,0.5428,0.9169,,,,,,,,,
19,0.7490,0.4642,0.8729,,,,,,,,,
20,0.8409,0.3591,0.7976,,,,,,,,,
21,0.8882,0.2813,0.7604,,,,,,,,,
22,0.9441,0.2546,0.7169,,,,,,,,,
23,1.0497,0.3394,0.6853,,,,,,,,,
24,1.1104,0.4428,0.6848,,,,,,,,,
25,1.1669,0.7031,0.6338,,,,,,,,,
26,1.1361,0.5992,0.5207,,,,,,,,,
27,1.2005,0.4929,0.1176,,,,,,,,,
28,1.3164,0.8793,-0.2064,,,,,,,,,
29,1.3725,1.4615,-0.5864,,,,,,,,,
30,1.3156,1.6379,-0.5620,,,,,,,,,
31,1.2019,1.7635,-0.5793,,,,,,,,,
32,1.1141,1.6448,-0.5531,,,,,,,,,
33,1.0161,1.5304,-0.4809,,,,,,,,,
34,0.9622,1.4693,-0.4411,,,,,,,,,
35,0.8490,1.4336,-0.3300,,,,,,,,,
36,0.6376,1.3979,-0.1979,,,,,,,,,
37,0.4362,1.4196,-0.1411,,,,,,,,,
38,0.3483,1.4391,-0.1195,,,,,,,,,
39,0.1437,1.4450,-0.1751,,,,,,,,,
40,0.1269,1.4513,-0.1816,,,,,,,,,
41,0.0700,1.4766,-0.2005,,,,,,,,,
42,-0.4192,1.4038,-0.1522,,,,,,,,,
43,-0.5053,1.1078,-0.1430,,,,,,,,,
44,-0.7003,1.1190,0.1312,,,,,,,,,
45,-0.8964,1.3209,0.2374,,,,,,,,,
46,-1.0520,1.4582,0.2404,,,,,,,,,
