t,x,y,z,x avg,y avg,z avg,x max,x min,y max,y min,z max,z min
59,1.0190,1.5567,1.3207,-0.5821,0.6397,0.1330,1.2652,-3.0601,1.5567,-0.8636,1.3207,-1.8577
60,1.2830,1.8836,1.3511,-0.5752,0.6786,0.1910,1.2830,-3.0601,1.8836,-0.8636,1.3511,-1.8577
61,1.6739,0.6970,0.8600,-0.4392,0.6749,0.3218,1.6739,-3.0601,1.8836,-0.8636,1.3511,-1.8577
62,0.3237,0.8559,0.0999,-0.3845,0.7609,0.4196,1.6739,-3.0601,1.8836,-0.5528,1.3511,-0.4199
63,-2.2380,1.3345,-2.0407,-0.5253,0.8553,0.3386,1.6739,-3.0601,1.8836,-0.3835,1.3511,-2.0407
64,-1.7544,-0.5439,-2.8380,-0.6762,0.7795,0.1511,1.6739,-3.0601,1.8836,-0.5439,1.3511,-2.8380
65,-0.1954,-0.9180,-1.4716,-0.7226,0.7041,0.0411,1.6739,-3.0601,1.8836,-0.9180,1.3511,-2.8380
66,0.1691,0.5294,0.3646,-0.7101,0.7294,0.0464,1.6739,-3.0601,1.8836,-0.9180,1.3511,-2.8380
67,-1.8310,0.0380,-0.3481,-0.7168,0.7307,0.0360,1.6739,-3.0601,1.8836,-0.9180,1.3511,-2.8380
68,-2.7159,0.0087,-0.7455,-0.7114,0.7086,0.0066,1.6739,-3.0601,1.8836,-0.9180,1.3511,-2.8380
69,-3.1841,0.2005,-0.7372,-0.7176,0.6655,-0.0271,1.6739,-3.1841,1.8836,-0.9180,1.3511,-2.8380
70,-3.1206,0.6778,-0.5898,-0.7317,0.6255,-0.0540,1.6739,-3.1841,1.8836,-0.9180,1.3511,-2.8380
71,-2.7088,0.9371,-0.1407,-0.7369,0.5962,-0.0603,1.6739,-3.1841,1.8836,-0.9180,1.3511,-2.8380
72,-0.8544,1.5233,0.3664,-0.6776,0.6019,-0.0352,1.6739,-3.1841,1.8836,-0.9180,1.3511,-2.8380
73,-0.5290,0.5538,0.4355,-0.6534,0.6037,-0.0083,1.6739,-3.1841,1.8836,-0.9180,1.3511,-2.8380
74,0.0948,0.7998,0.7860,-0.6209,0.6629,0.0336,1.6739,-3.1841,1.8836,-0.9180,1.3511,-2.8380
75,0.8006,1.2024,1.0455,-0.5770,0.7328,0.0614,1.6739,-3.1841,1.8836,-0.9180,1.3511,-2.8380
76,1.7751,2.1402,1.4960,-0.5058,0.8166,0.0907,1.7751,-3.1841,2.1402,-0.9180,1.4960,-2.8380
77,1.7566,2.0974,1.4757,-0.4635,0.8523,0.0998,1.7751,-3.1841,2.1402,-0.9180,1.4960,-2.8380
78,1.4242,1.4198,1.2671,-0.4406,0.8497,0.0978,1.7751,-3.1841,2.1402,-0.9180,1.4960,-2.8380
79,-0.4804,0.3907,-0.0620,-0.5155,0.7914,0.0287,1.7751,-3.1841,2.1402,-0.9180,1.4960,-2.8380
80,-1.8371,-0.2127,-1.5723,-0.6716,0.6866,-0.1175,1.7751,-3.1841,2.1402,-0.9180,1.4960,-2.8380
81,-1.5668,-0.4541,-2.2332,-0.8336,0.6290,-0.2721,1.7751,-3.1841,2.1402,-0.9180,1.4960,-2.8380
82,-0.5003,-0.8376,-1.7094,-0.8748,0.5444,-0.3626,1.7751,-3.1841,2.1402,-0.9180,1.4960,-2.8380
83,0.5801,0.7356,0.1317,-0.7339,0.5144,-0.2540,1.7751,-3.1841,2.1402,-0.9180,1.4960,-2.8380
84,-1.3380,0.8028,-0.2486,-0.7131,0.5817,-0.1245,1.7751,-3.1841,2.1402,-0.9180,1.4960,-2.2332
85,-1.7519,0.8756,-0.3027,-0.7909,0.6714,-0.0661,1.7751,-3.1841,2.1402,-0.8376,1.4960,-2.2332
86,-2.3048,0.9448,-0.5139,-0.9146,0.6922,-0.1100,1.7751,-3.1841,2.1402,-0.8376,1.4960,-2.2332
87,-3.1238,0.7909,-0.5167,-0.9792,0.7298,-0.1184,1.7751,-3.1841,2.1402,-0.8376,1.4960,-2.2332
