t,x,y,z,x avg,y avg,z avg,x max,x min,y max,y min,z max,z min
107,-3.4319,0.9233,-0.5841,-0.6757,0.6102,0.0022,1.7751,-3.4319,2.1402,-1.8428,1.4960,-2.8380
108,-3.1940,1.1069,-0.6273,-0.7199,0.6032,-0.0174,1.7751,-3.4319,2.1402,-1.8428,1.4960,-2.8380
109,-3.0811,1.3235,-0.7853,-0.7464,0.6120,-0.0322,1.7751,-3.4319,2.1402,-1.8428,1.4960,-2.8380
110,-2.7439,1.6058,-0.1639,-0.7587,0.6257,-0.0375,1.7751,-3.4319,2.1402,-1.8428,1.4960,-2.8380
111,-1.7237,2.4273,0.3523,-0.7568,0.6372,-0.0382,1.7751,-3.4319,2.4273,-1.8428,1.4960,-2.8380
112,-1.4496,1.1179,0.1713,-0.7521,0.6335,-0.0404,1.7751,-3.4319,2.4273,-1.8428,1.4960,-2.8380
113,-1.3772,0.8794,0.1605,-0.7461,0.6337,-0.0394,1.7751,-3.4319,2.4273,-1.8428,1.4960,-2.8380
114,-1.1764,0.8384,0.1312,-0.7393,0.6322,-0.0396,1.7751,-3.4319,2.4273,-1.8428,1.4960,-2.8380
115,-0.5543,0.8982,0.1588,-0.7274,0.6385,-0.0389,1.7751,-3.4319,2.4273,-1.8428,1.4960,-2.8380
116,-0.1110,0.8312,0.2867,-0.7197,0.6437,-0.0410,1.7751,-3.4319,2.4273,-1.8428,1.4960,-2.8380
117,0.8435,-0.3584,0.1993,-0.7057,0.6361,-0.0449,1.7751,-3.4319,2.4273,-1.8428,1.4960,-2.8380
118,-0.1136,0.3352,-0.4790,-0.7019,0.6354,-0.0557,1.7751,-3.4319,2.4273,-1.8428,1.4960,-2.8380
119,-1.8417,0.5178,-1.5031,-0.7160,0.6365,-0.0769,1.7751,-3.4319,2.4273,-1.8428,1.4960,-2.8380
120,-1.1834,-1.5389,-2.1418,-0.7249,0.6171,-0.1048,1.7751,-3.4319,2.4273,-1.8428,1.4960,-2.8380
121,0.2478,0.4613,0.4029,-0.7239,0.6203,-0.1056,1.7751,-3.4319,2.4273,-1.8428,1.4960,-2.8380
122,-1.1737,1.1929,0.4260,-0.7467,0.6327,-0.1008,1.7751,-3.4319,2.4273,-1.8428,1.4960,-2.8380
123,-3.0325,1.3881,-0.6101,-0.7880,0.6437,-0.1023,1.7751,-3.4319,2.4273,-1.8428,1.4960,-2.8380
124,-3.9766,1.4080,-0.5175,-0.8262,0.6403,-0.0940,1.7751,-3.9766,2.4273,-1.8428,1.4960,-2.8380
125,-2.9305,1.5812,-0.2757,-0.8465,0.6407,-0.0822,1.7751,-3.9766,2.4273,-1.8428,1.4960,-2.8380
126,-1.7316,2.1050,0.4776,-0.8700,0.6560,-0.0785,1.7751,-3.9766,2.4273,-1.8428,1.4960,-2.8380
