x,y,z,x avg,y avg,z avg,x max,x min,y max,y min,z max,z min
0.2093,-0.7998,-0.3507,0.0105,-0.0400,-0.0400,0.2093,0.0000,0.2093,-0.7998,0.2093,-0.3507
0.4139,0.4677,-0.6174,0.0207,0.0234,0.0234,0.4139,0.0000,0.4677,0.0000,0.4677,-0.6174
0.2316,1.5257,-1.2205,0.0116,0.0763,0.0763,0.2316,0.0000,1.5257,0.0000,1.5257,-1.2205
0.0751,0.6434,-1.7126,0.0038,0.0322,0.0322,0.0751,0.0000,0.6434,0.0000,0.6434,-1.7126
1.5146,1.4608,0.9465,0.0757,0.0730,0.0730,1.5146,0.0000,1.5146,0.0000,1.5146,0.0000
1.7840,2.0034,1.3610,0.0892,0.1002,0.1002,1.7840,0.0000,2.0034,0.0000,2.0034,0.0000
1.3692,1.9460,1.3860,0.0685,0.0973,0.0973,1.3860,0.0000,1.9460,0.0000,1.9460,0.0000
1.2174,1.8101,1.3410,0.0609,0.0905,0.0905,1.3410,0.0000,1.8101,0.0000,1.8101,0.0000
-0.4239,0.4433,0.6881,-0.0212,0.0222,0.0222,0.6881,-0.4239,0.6881,0.0000,0.6881,0.0000
-1.5124,0.2283,0.3724,-0.0756,0.0114,0.0114,0.3724,-1.5124,0.3724,0.0000,0.3724,0.0000
-1.9177,1.2794,0.4149,-0.0959,0.0640,0.0640,0.4149,-1.9177,1.2794,0.0000,1.2794,0.0000
-1.9241,1.4939,0.3938,-0.0962,0.0747,0.0747,0.3938,-1.9241,1.4939,0.0000,1.4939,0.0000
-1.9732,0.8562,0.0601,-0.0987,0.0428,0.0428,0.0601,-1.9732,0.8562,0.0000,0.8562,0.0000
-1.8561,0.9839,0.1496,-0.0928,0.0492,0.0492,0.1496,0.0000,0.9839,0.0000,0.9839,0.0000
-1.7455,0.2744,0.0897,-0.0873,0.0137,0.0137,0.0897,-1.7455,0.2744,0.0000,0.2744,0.0000
-0.8768,0.3120,0.4995,-0.0438,0.0156,0.0156,0.4995,0.0000,0.4995,0.0000,0.4995,0.0000
-0.5550,0.4016,0.5873,-0.0278,0.0201,0.0201,0.5873,-0.5550,0.5873,0.0000,0.5873,0.0000
-0.4986,0.4055,0.5974,-0.0249,0.0203,0.0203,0.5974,0.0000,0.5974,0.0000,0.5974,0.0000
-0.4345,0.4060,0.6214,-0.0217,0.0203,0.0203,0.6214,-0.4345,0.6214,0.0000,0.6214,0.0000
-0.2885,0.4001,0.6445,-0.0144,0.0200,0.0200,0.6445,0.0000,0.6445,0.0000,0.6445,0.0000
0.1440,0.1398,0.4903,0.0072,0.0070,0.0070,0.4903,0.0000,0.4903,0.0000,0.4903,0.0000
1.1044,-0.0505,-0.0623,0.0552,-0.0025,-0.0025,1.1044,0.0000,1.1044,-0.0505,1.1044,-0.0623
1.1050,0.2894,-0.4509,0.0552,0.0145,0.0145,1.1050,0.0000,1.1050,0.0000,1.1050,-0.4509
-0.1590,1.7514,-1.3487,-0.0080,0.0876,0.0876,0.0000,-0.1590,1.7514,0.0000,1.7514,-1.3487
-0.9060,1.5453,-1.4619,-0.0453,0.0773,0.0773,0.0000,-0.9060,1.5453,0.0000,1.5453,-1.4619
0.6228,0.5677,0.1148,0.0311,0.0284,0.0284,0.6228,0.0000,0.6228,0.0000,0.6228,0.0000
-0.1174,-0.0099,0.5307,-0.0059,-0.0005,-0.0005,0.5307,-0.1174,0.5307,-0.0099,0.5307,0.0000
-1.7739,-0.6018,-0.4731,-0.0887,-0.0301,-0.0301,0.0000,-1.7739,0.0000,-0.6018,0.0000,-0.4731
-2.6411,0.0118,-0.6115,-0.1321,0.0006,0.0006,0.0000,-2.6411,0.0118,0.0000,0.0118,-0.6115
