x,y,z,x avg,y avg,z avg,x max,x min,y max,y min,z max,z min
-0.3486,1.5678,0.1248,-0.0035,0.0157,0.0157,0.1248,-0.3486,1.5678,0.0000,1.5678,0.0000
-0.5565,1.5559,-0.0098,-0.0056,0.0156,0.0156,0.0000,-0.5565,1.5559,0.0000,1.5559,-0.0098
-0.6313,1.4309,-0.0839,-0.0063,0.0143,0.0143,0.0000,-0.6313,1.4309,0.0000,1.4309,-0.0839
-0.7693,1.3062,-0.1068,-0.0077,0.0131,0.0131,0.0000,-0.7693,1.3062,0.0000,1.3062,-0.1068
-0.9487,1.2250,-0.0443,-0.0095,0.0122,0.0122,0.0000,-0.9487,1.2250,0.0000,1.2250,0.0000
-1.0226,1.4219,0.0414,-0.0102,0.0142,0.0142,0.0414,-1.0226,1.4219,0.0000,1.4219,0.0000
-1.3136,1.7181,0.0561,-0.0131,0.0172,0.0172,0.0561,-1.3136,1.7181,0.0000,1.7181,0.0000
-1.4527,1.3875,-0.0794,-0.0145,0.0139,0.0139,0.0000,-1.4527,1.3875,0.0000,1.3875,-0.0794
-1.4865,1.1736,-0.0922,-0.0149,0.0117,0.0117,0.0000,-1.4865,1.1736,0.0000,1.1736,-0.0922
-1.4881,1.0052,0.0289,-0.0149,0.0101,0.0101,0.0289,-1.4881,1.0052,0.0000,1.0052,0.0000
-1.4700,0.8750,0.2614,-0.0147,0.0087,0.0087,0.2614,0.0000,0.8750,0.0000,0.8750,0.0000
-1.4204,0.8778,0.3576,-0.0142,0.0088,0.0088,0.3576,-1.4204,0.8778,0.0000,0.8778,0.0000
-1.2731,1.0264,0.7419,-0.0127,0.0103,0.0103,0.7419,0.0000,1.0264,0.0000,1.0264,0.0000
-1.1350,1.0168,1.1057,-0.0114,0.0102,0.0102,1.1057,-1.1350,1.1057,0.0000,1.1057,0.0000
-0.9901,0.7176,1.3313,-0.0099,0.0072,0.0072,1.3313,0.0000,1.3313,0.0000,1.3313,0.0000
-0.7145,0.3031,1.3777,-0.0071,0.0030,0.0030,1.3777,-0.7145,1.3777,0.0000,1.3777,0.0000
-0.5173,0.7173,1.6383,-0.0052,0.0072,0.0072,1.6383,0.0000,1.6383,0.0000,1.6383,0.0000
-0.4321,0.9821,1.7494,-0.0043,0.0098,0.0098,1.7494,-0.4321,1.7494,0.0000,1.7494,0.0000
-0.3269,0.8391,1.5965,-0.0033,0.0084,0.0084,1.5965,0.0000,1.5965,0.0000,1.5965,0.0000
-0.2442,0.4913,1.3499,-0.0024,0.0049,0.0049,1.3499,-0.2442,1.3499,0.0000,1.3499,0.0000
0.0799,0.4406,1.2124,0.0008,0.0044,0.0044,1.2124,0.0000,1.2124,0.0000,1.2124,0.0000
