x,y,z,x avg,y avg,z avg,x max,x min,y max,y min,z max,z min
0.7598,-0.0977,-0.1165,0.0076,-0.0010,-0.0010,0.7598,0.0000,0.7598,-0.0977,0.7598,0.0000
-1.1190,-1.9556,-1.5812,-0.0112,-0.0196,-0.0196,0.0000,-1.1190,0.0000,-1.9556,0.0000,-1.5812
0.0079,-1.2575,-0.6108,0.0001,-0.0126,-0.0126,0.0079,0.0000,0.0079,0.0000,0.0079,0.0000
-2.5019,-0.6505,-0.0344,-0.0250,-0.0065,-0.0065,0.0000,-2.5019,0.0000,-0.6505,0.0000,-0.0344
-3.8428,-0.9905,-0.5279,-0.0384,-0.0099,-0.0099,0.0000,-3.8428,0.0000,-0.9905,0.0000,-0.5279
-4.0001,-0.5805,-0.8646,-0.0400,-0.0058,-0.0058,0.0000,-4.0001,0.0000,0.0000,0.0000,-0.8646
-4.0002,0.3806,-0.7986,-0.0400,0.0038,0.0038,0.0000,-4.0002,0.3806,0.0000,0.3806,0.0000
-4.0002,1.7502,-0.2255,-0.0400,0.0175,0.0175,0.0000,0.0000,1.7502,0.0000,1.7502,-0.2255
-3.9833,2.2690,0.0025,-0.0398,0.0227,0.0227,0.0025,-3.9833,2.2690,0.0000,2.2690,0.0000
-2.2005,0.4128,0.4098,-0.0220,0.0041,0.0041,0.4098,0.0000,0.4128,0.0000,0.4128,0.0000
-2.1544,0.2095,0.0158,-0.0215,0.0021,0.0021,0.0158,-2.1544,0.2095,0.0000,0.2095,0.0000
-1.9454,0.3494,-0.3652,-0.0195,0.0035,0.0035,0.0000,0.0000,0.3494,0.0000,0.3494,-0.3652
-1.3252,-0.0285,-0.5279,-0.0133,-0.0003,-0.0003,0.0000,-1.3252,0.0000,-0.0285,0.0000,-0.5279
-0.4431,-0.1176,-0.1964,-0.0044,-0.0012,-0.0012,0.0000,0.0000,0.0000,-0.1176,0.0000,0.0000
0.7098,-0.6554,0.2414,0.0071,-0.0066,-0.0066,0.7098,0.0000,0.7098,-0.6554,0.7098,0.0000
0.8758,-1.0696,0.0189,0.0088,-0.0107,-0.0107,0.8758,0.0000,0.8758,-1.0696,0.8758,0.0000
